INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
University of Tennessee: MartinPublic 4-year,Public_4 year,TN,6164,9512,15676,15552,21716
South CollegeFor-profit 4-year,For_profit_4_year,TN,NA,21075,21075,21075,21075
American Baptist CollegePrivate 4-year,Private_4_year,TN,8640,10950,19590,10950,19590
Aquinas CollegePrivate 4-year,Private_4_year,TN,NA,23600,23600,23600,23600
Baptist College of Health SciencesPrivate 4-year,Private_4_year,TN,2900,14700,17600,14700,17600
Bethel UniversityPrivate 4-year,Private_4_year,TN,9198,16552,25750,16552,25750
Belmont UniversityPrivate 4-year,Private_4_year,TN,12120,34310,46430,34310,46430
Bryan College: DaytonPrivate 4-year,Private_4_year,TN,7500,26800,34300,26800,34300
Carson-Newman UniversityPrivate 4-year,Private_4_year,TN,8810,27900,36710,27900,36710
Christian Brothers UniversityPrivate 4-year,Private_4_year,TN,7400,32820,40220,32820,40220
Cumberland UniversityPrivate 4-year,Private_4_year,TN,9290,22890,32180,22890,32180
Fisk UniversityPrivate 4-year,Private_4_year,TN,10790,21480,32270,21480,32270
Freed-Hardeman UniversityPrivate 4-year,Private_4_year,TN,8260,21950,30210,21950,30210
Johnson UniversityPrivate 4-year,Private_4_year,TN,6700,16060,22760,16060,22760
King UniversityPrivate 4-year,Private_4_year,TN,8762,29714,38476,29714,38476
Lane CollegePrivate 4-year,Private_4_year,TN,7270,10690,17960,10690,17960
Lee UniversityPrivate 4-year,Private_4_year,TN,7410,17690,25100,17690,25100
LeMoyne-Owen CollegePrivate 4-year,Private_4_year,TN,6100,11196,17296,11196,17296
Lincoln Memorial UniversityPrivate 4-year,Private_4_year,TN,8000,22010,30010,22010,30010
Lipscomb UniversityPrivate 4-year,Private_4_year,TN,12652,32144,44796,32144,44796
Martin Methodist CollegePrivate 4-year,Private_4_year,TN,8400,24246,32646,24246,32646
Maryville CollegePrivate 4-year,Private_4_year,TN,11424,34880,46304,34880,46304
Memphis College of ArtPrivate 4-year,Private_4_year,TN,8890,33100,41990,33100,41990
Milligan CollegePrivate 4-year,Private_4_year,TN,7100,33700,40800,33700,40800
O'More College of DesignPrivate 4-year,Private_4_year,TN,NA,29880,29880,29880,29880
Rhodes CollegePrivate 4-year,Private_4_year,TN,11403,47890,59293,47890,59293
Sewanee: The University of the SouthPrivate 4-year,Private_4_year,TN,12880,45120,58000,45120,58000
Southern Adventist UniversityPrivate 4-year,Private_4_year,TN,6940,21950,28890,21950,28890
Tennessee Wesleyan UniversityPrivate 4-year,Private_4_year,TN,7880,24800,32680,24800,32680
Trevecca Nazarene UniversityPrivate 4-year,Private_4_year,TN,8400,25598,33998,25598,33998
Tusculum CollegePrivate 4-year,Private_4_year,TN,9190,24860,34050,24860,34050
Union UniversityPrivate 4-year,Private_4_year,TN,10200,32890,43090,32890,43090
Vanderbilt UniversityPrivate 4-year,Private_4_year,TN,16234,49816,66050,49816,66050
Visible Music CollegePrivate 4-year,Private_4_year,TN,6000,19500,25500,19500,25500
"Watkins College of Art, Design & FilmPrivate 4-year",Private_4_year,TN,6750,24450,31200,24450,31200
Welch CollegePrivate 4-year,Private_4_year,TN,7704,19012,26716,19012,26716
Williamson CollegePrivate 4-year,Private_4_year,TN,NA,13825,13825,13825,13825
Angelo State UniversityPublic 4-year,Public_4 year,TX,9130,8489,17619,20939,30069
Lamar UniversityPublic 4-year,Public_4 year,TX,8920,10192,19112,22642,31562
Midwestern State UniversityPublic 4-year,Public_4 year,TX,8877,9019,17896,10969,19846
Prairie View A&M UniversityPublic 4-year,Public_4 year,TX,8925,10533,19458,24843,33768
Sam Houston State UniversityPublic 4-year,Public_4 year,TX,9386,10183,19569,22633,32019
Stephen F. Austin State UniversityPublic 4-year,Public_4 year,TX,8964,10287,19251,22737,31701
Sul Ross State UniversityPublic 4-year,Public_4 year,TX,8242,8309,16551,20759,29001
Tarleton State UniversityPublic 4-year,Public_4 year,TX,11800,9077,20877,21412,33212
Texas A&M International UniversityPublic 4-year,Public_4 year,TX,8320,8640,16960,22260,30580
Texas A&M UniversityPublic 4-year,Public_4 year,TX,10436,10968,21404,36442,46878
Texas A&M University-CommercePublic 4-year,Public_4 year,TX,8750,8748,17498,21198,29948
Texas A&M University-Corpus ChristiPublic 4-year,Public_4 year,TX,10220,9909,20129,22131,32351
Texas A&M University-KingsvillePublic 4-year,Public_4 year,TX,8760,8462,17222,20912,29672
Texas A&M University-TexarkanaPublic 4-year,Public_4 year,TX,8732,7024,15756,22060,30792
Texas Southern UniversityPublic 4-year,Public_4 year,TX,10282,9173,19455,21623,31905
Texas State UniversityPublic 4-year,Public_4 year,TX,9374,10935,20309,23385,32759
Texas Tech UniversityPublic 4-year,Public_4 year,TX,9530,11045,20575,23495,33025
Texas Tech University Health Sciences CenterPublic 4-year,Public_4 year,TX,NA,7911,7911,20361,20361
Texas Woman's UniversityPublic 4-year,Public_4 year,TX,8181,9368,17549,21818,29999
University of HoustonPublic 4-year,Public_4 year,TX,10270,12506,22776,27956,38226
University of Houston-Clear LakePublic 4-year,Public_4 year,TX,NA,8500,8500,24731,24731
University of Houston-DowntownPublic 4-year,Public_4 year,TX,NA,7832,7832,20282,20282
University of Houston-VictoriaPublic 4-year,Public_4 year,TX,8045,7970,16015,20420,28465
University of North TexasPublic 4-year,Public_4 year,TX,9727,11250,20977,23700,33427
University of Texas at ArlingtonPublic 4-year,Public_4 year,TX,10302,10250,20552,25134,35436
University of Texas at AustinPublic 4-year,Public_4 year,TX,10804,10606,21410,37480,48284
University of Texas at DallasPublic 4-year,Public_4 year,TX,11532,13034,24566,36876,48408
University of Texas at El PasoPublic 4-year,Public_4 year,TX,5040,7998,13038,22529,27569
University of Texas at San AntonioPublic 4-year,Public_4 year,TX,11578,9900,21478,24262,35840
University of Texas at TylerPublic 4-year,Public_4 year,TX,9502,8292,17794,21522,31024
University of Texas Health Science Center at HoustonPublic 4-year,Public_4 year,TX,NA,6380,6380,27710,27710
University of Texas Medical Branch at GalvestonPublic 4-year,Public_4 year,TX,NA,7721,7721,20258,20258
University of Texas of the Permian BasinPublic 4-year,Public_4 year,TX,9846,7124,16970,19574,29420
University Of Texas Rio Grande ValleyPublic 4-year,Public_4 year,TX,8124,7813,15937,20263,28387
West Texas A&M UniversityPublic 4-year,Public_4 year,TX,7196,8849,16045,10476,17672
Art Institute of HoustonFor-profit 4-year,For_profit_4_year,TX,9600,24024,33624,24024,33624
Abilene Christian UniversityPrivate 4-year,Private_4_year,TX,10350,34850,45200,34850,45200
Amberton UniversityPrivate 4-year,Private_4_year,TX,NA,12840,12840,12840,12840
Arlington Baptist UniversityPrivate 4-year,Private_4_year,TX,6500,13190,19690,13190,19690
Austin CollegePrivate 4-year,Private_4_year,TX,12527,39985,52512,39985,52512
Austin Graduate School of TheologyPrivate 4-year,Private_4_year,TX,NA,11900,11900,11900,11900
Baptist Missionary Association Theological SeminaryPrivate 4-year,Private_4_year,TX,3150,6690,9840,6690,9840
Baptist University of the AmericasPrivate 4-year,Private_4_year,TX,2500,7800,10300,7800,10300
Baylor UniversityPrivate 4-year,Private_4_year,TX,12595,45727,58322,45727,58322
College of Biblical Studies-HoustonPrivate 4-year,Private_4_year,TX,NA,8590,8590,8590,8590
Concordia University TexasPrivate 4-year,Private_4_year,TX,11018,31810,42828,31810,42828
Criswell CollegePrivate 4-year,Private_4_year,TX,NA,13120,13120,13120,13120
Dallas Baptist UniversityPrivate 4-year,Private_4_year,TX,7992,28870,36862,28870,36862
Dallas Christian CollegePrivate 4-year,Private_4_year,TX,9010,17620,26630,17620,26630
East Texas Baptist UniversityPrivate 4-year,Private_4_year,TX,9079,26370,35449,26370,35449
Hardin-Simmons UniversityPrivate 4-year,Private_4_year,TX,8080,28990,37070,28990,37070
Houston Baptist UniversityPrivate 4-year,Private_4_year,TX,8814,32530,41344,32530,41344
Howard Payne UniversityPrivate 4-year,Private_4_year,TX,8386,28090,36476,28090,36476
Huston-Tillotson UniversityPrivate 4-year,Private_4_year,TX,7568,14346,21914,14346,21914
Jarvis Christian CollegePrivate 4-year,Private_4_year,TX,8440,11720,20160,11720,20160
LeTourneau UniversityPrivate 4-year,Private_4_year,TX,9970,30210,40180,30210,40180
Lubbock Christian UniversityPrivate 4-year,Private_4_year,TX,7702,22440,30142,22440,30142
McMurry UniversityPrivate 4-year,Private_4_year,TX,8602,27244,35846,27244,35846
Our Lady of the Lake University of San AntonioPrivate 4-year,Private_4_year,TX,9602,28740,38342,28740,38342
Paul Quinn CollegePrivate 4-year,Private_4_year,TX,6000,8495,14495,8495,14495
Rice UniversityPrivate 4-year,Private_4_year,TX,14000,47350,61350,47350,61350
Schreiner UniversityPrivate 4-year,Private_4_year,TX,10508,27960,38468,27960,38468
Southern Methodist UniversityPrivate 4-year,Private_4_year,TX,16845,54493,71338,54493,71338
Southwestern Adventist UniversityPrivate 4-year,Private_4_year,TX,7600,21564,29164,21564,29164
Southwestern Assemblies of God UniversityPrivate 4-year,Private_4_year,TX,7500,20952,28452,20952,28452
Southwestern Baptist Theological SeminaryPrivate 4-year,Private_4_year,TX,2650,11740,14390,11740,14390
Southwestern Christian CollegePrivate 4-year,Private_4_year,TX,6042,8364,14406,8364,14406
Southwestern UniversityPrivate 4-year,Private_4_year,TX,12000,42000,54000,42000,54000
St. Edward's UniversityPrivate 4-year,Private_4_year,TX,13650,45428,59078,45428,59078
St. Mary's UniversityPrivate 4-year,Private_4_year,TX,10270,30650,40920,30650,40920
Texas Christian UniversityPrivate 4-year,Private_4_year,TX,12804,46950,59754,46950,59754
Texas CollegePrivate 4-year,Private_4_year,TX,8000,10008,18008,10008,18008
Texas Lutheran UniversityPrivate 4-year,Private_4_year,TX,9720,30050,39770,30050,39770
Texas Wesleyan UniversityPrivate 4-year,Private_4_year,TX,10559,30300,40859,30300,40859
The King's UniversityPrivate 4-year,Private_4_year,TX,NA,15000,15000,15000,15000
Trinity UniversityPrivate 4-year,Private_4_year,TX,13464,42976,56440,42976,56440
University of DallasPrivate 4-year,Private_4_year,TX,12400,40652,53052,40652,53052
University of Mary Hardin-BaylorPrivate 4-year,Private_4_year,TX,8446,28750,37196,28750,37196
University of St. ThomasPrivate 4-year,Private_4_year,TX,9070,33580,42650,33580,42650
University of the Incarnate WordPrivate 4-year,Private_4_year,TX,12716,31484,44200,31484,44200
Wayland Baptist UniversityPrivate 4-year,Private_4_year,TX,7992,20070,28062,20070,28062
Wiley CollegePrivate 4-year,Private_4_year,TX,7084,13152,20236,13152,20236
Dixie State UniversityPublic 4-year,Public_4 year,UT,6328,5253,11581,15051,21379
Southern Utah UniversityPublic 4-year,Public_4 year,UT,7090,6769,13859,20585,27675
University of UtahPublic 4-year,Public_4 year,UT,10262,9222,19484,29215,39477
Utah State UniversityPublic 4-year,Public_4 year,UT,6400,7424,13824,21505,27905
Utah Valley UniversityPublic 4-year,Public_4 year,UT,NA,5726,5726,16296,16296
Weber State UniversityPublic 4-year,Public_4 year,UT,6279,5831,12110,16585,22864
Neumont College of Computer ScienceFor-profit 4-year,For_profit_4_year,UT,5970,24750,30720,24750,30720
Brigham Young UniversityPrivate 4-year,Private_4_year,UT,7628,5620,13248,5620,13248
Western Governors UniversityPrivate 4-year,Private_4_year,UT,NA,6670,6670,6670,6670
Westminster CollegePrivate 4-year,Private_4_year,UT,9524,34300,43824,34300,43824
Christopher Newport UniversityPublic 4-year,Public_4 year,VA,11460,14754,26214,27220,38680
College of William and MaryPublic 4-year,Public_4 year,VA,12236,23400,35636,44701,56937
George Mason UniversityPublic 4-year,Public_4 year,VA,11460,12462,23922,35922,47382
James Madison UniversityPublic 4-year,Public_4 year,VA,10092,12016,22108,28416,38508
Longwood UniversityPublic 4-year,Public_4 year,VA,11746,13340,25086,29300,41046
Norfolk State UniversityPublic 4-year,Public_4 year,VA,10360,9490,19850,21418,31778
Old Dominion UniversityPublic 4-year,Public_4 year,VA,11620,10872,22492,29772,41392
Radford UniversityPublic 4-year,Public_4 year,VA,9406,11210,20616,22845,32251
University of Mary WashingtonPublic 4-year,Public_4 year,VA,11118,12188,23306,27434,38552
University of VirginiaPublic 4-year,Public_4 year,VA,11590,17564,29154,48465,60055
University of Virginia's College at WisePublic 4-year,Public_4 year,VA,10438,10119,20557,27176,37614
Virginia Commonwealth UniversityPublic 4-year,Public_4 year,VA,10428,14490,24918,35138,45566
Virginia Military InstitutePublic 4-year,Public_4 year,VA,9428,18862,28290,45706,55134
Virginia Polytechnic Institute and State UniversityPublic 4-year,Public_4 year,VA,8934,13620,22554,31304,40238
Virginia State UniversityPublic 4-year,Public_4 year,VA,11208,9056,20264,19576,30784
American National University: SalemFor-profit 4-year,For_profit_4_year,VA,NA,18735,18735,18735,18735
ECPI UniversityFor-profit 4-year,For_profit_4_year,VA,NA,16764,16764,16764,16764
Stratford University: Falls ChurchFor-profit 4-year,For_profit_4_year,VA,NA,16750,16750,16750,16750
Stratford University: WoodbridgeFor-profit 4-year,For_profit_4_year,VA,NA,16750,16750,16750,16750
University of Management and TechnologyFor-profit 4-year,For_profit_4_year,VA,NA,9450,9450,9450,9450
Averett UniversityPrivate 4-year,Private_4_year,VA,9976,34400,44376,34400,44376
Bluefield CollegePrivate 4-year,Private_4_year,VA,9024,25290,34314,25290,34314
Bridgewater CollegePrivate 4-year,Private_4_year,VA,12720,35160,47880,35160,47880
Christendom CollegePrivate 4-year,Private_4_year,VA,10280,26360,36640,26360,36640
Eastern Mennonite UniversityPrivate 4-year,Private_4_year,VA,11160,37100,48260,37100,48260
Emory & Henry CollegePrivate 4-year,Private_4_year,VA,12100,35135,47235,35135,47235
Ferrum CollegePrivate 4-year,Private_4_year,VA,11500,34175,45675,34175,45675
Hampden-Sydney CollegePrivate 4-year,Private_4_year,VA,13558,45746,59304,45746,59304
Hampton UniversityPrivate 4-year,Private_4_year,VA,11778,26702,38480,26702,38480
Hollins UniversityPrivate 4-year,Private_4_year,VA,13520,39035,52555,39035,52555
Jefferson College of Health SciencesPrivate 4-year,Private_4_year,VA,5870,26886,32756,26886,32756
Liberty UniversityPrivate 4-year,Private_4_year,VA,10478,25276,35754,25276,35754
Mary Baldwin UniversityPrivate 4-year,Private_4_year,VA,9410,31085,40495,31085,40495
Marymount UniversityPrivate 4-year,Private_4_year,VA,13190,31466,44656,31466,44656
Patrick Henry CollegePrivate 4-year,Private_4_year,VA,10728,27922,38650,27922,38650
Randolph CollegePrivate 4-year,Private_4_year,VA,13580,39585,53165,39585,53165
Randolph-Macon CollegePrivate 4-year,Private_4_year,VA,11860,41400,53260,41400,53260
Regent UniversityPrivate 4-year,Private_4_year,VA,9120,18108,27228,18108,27228
Roanoke CollegePrivate 4-year,Private_4_year,VA,13690,44030,57720,44030,57720
Shenandoah UniversityPrivate 4-year,Private_4_year,VA,10370,32530,42900,32530,42900
Southern Virginia UniversityPrivate 4-year,Private_4_year,VA,6766,16495,23261,16495,23261
Sweet Briar CollegePrivate 4-year,Private_4_year,VA,13000,21000,34000,21000,34000
University of LynchburgPrivate 4-year,Private_4_year,VA,10800,39530,50330,39530,50330
University of RichmondPrivate 4-year,Private_4_year,VA,12250,52610,64860,52610,64860
Virginia Baptist CollegePrivate 4-year,Private_4_year,VA,NA,5800,5800,5800,5800
Virginia Union UniversityPrivate 4-year,Private_4_year,VA,8598,17448,26046,17448,26046
Virginia University of LynchburgPrivate 4-year,Private_4_year,VA,9400,9000,18400,9000,18400
Virginia Wesleyan UniversityPrivate 4-year,Private_4_year,VA,9256,36660,45916,36660,45916
Washington and Lee UniversityPrivate 4-year,Private_4_year,VA,13925,52455,66380,52455,66380
University of the Virgin IslandsPublic 4-year,Public_4 year,VI,9900,5235,15135,14496,24396
Castleton UniversityPublic 4-year,Public_4 year,VT,10598,12314,22912,28322,38920
Lyndon State CollegePublic 4-year,Public_4 year,VT,10598,12074,22672,25394,35992
Northern Vermont UniversityPublic 4-year,Public_4 year,VT,10598,12434,23032,25754,36352
University of VermontPublic 4-year,Public_4 year,VT,12462,18276,30738,42516,54978
Vermont Technical CollegePublic 4-year,Public_4 year,VT,10598,15108,25706,27780,38378
Bennington CollegePrivate 4-year,Private_4_year,VT,15610,54360,69970,54360,69970
Champlain CollegePrivate 4-year,Private_4_year,VT,15354,41010,56364,41010,56364
College of St. Joseph in VermontPrivate 4-year,Private_4_year,VT,12000,18520,30520,18520,30520
Goddard CollegePrivate 4-year,Private_4_year,VT,1698,16586,18284,16586,18284
Green Mountain CollegePrivate 4-year,Private_4_year,VT,11722,37002,48724,37002,48724
Marlboro CollegePrivate 4-year,Private_4_year,VT,12285,40840,53125,40840,53125
Middlebury CollegePrivate 4-year,Private_4_year,VT,15530,54450,69980,54450,69980
Norwich UniversityPrivate 4-year,Private_4_year,VT,13840,40016,53856,40016,53856
Saint Michael's CollegePrivate 4-year,Private_4_year,VT,12220,45375,57595,45375,57595
Southern Vermont CollegePrivate 4-year,Private_4_year,VT,11000,25511,36511,25511,36511
Sterling CollegePrivate 4-year,Private_4_year,VT,9900,38800,48700,38800,48700
Central Washington UniversityPublic 4-year,Public_4 year,WA,11115,8072,19187,23053,34168
Eastern Washington UniversityPublic 4-year,Public_4 year,WA,12793,7323,20116,24444,37237
Evergreen State CollegePublic 4-year,Public_4 year,WA,11346,7949,19295,26459,37805
Green River CollegePublic 4-year,Public_4 year,WA,NA,4581,4581,4581,4581
University of WashingtonPublic 4-year,Public_4 year,WA,12798,11517,24315,36898,49696
University of Washington BothellPublic 4-year,Public_4 year,WA,11877,11138,23015,36519,48396
University of Washington TacomaPublic 4-year,Public_4 year,WA,11028,11361,22389,36742,47770
Washington State UniversityPublic 4-year,Public_4 year,WA,11398,11581,22979,26365,37763
Western Washington UniversityPublic 4-year,Public_4 year,WA,11466,8132,19598,23544,35010
DigiPen Institute of TechnologyFor-profit 4-year,For_profit_4_year,WA,NA,30350,30350,30350,30350
Northwest College of Art & DesignFor-profit 4-year,For_profit_4_year,WA,NA,20600,20600,20600,20600
Antioch University SeattlePrivate 4-year,Private_4_year,WA,NA,27435,27435,27435,27435
Bastyr UniversityPrivate 4-year,Private_4_year,WA,7590,26166,33756,26166,33756
Cornish College of the ArtsPrivate 4-year,Private_4_year,WA,12400,41642,54042,41642,54042
Fiath International UniversityPrivate 4-year,Private_4_year,WA,NA,7650,7650,7650,7650
Gonzaga UniversityPrivate 4-year,Private_4_year,WA,11944,43210,55154,43210,55154
Heritage UniversityPrivate 4-year,Private_4_year,WA,NA,18124,18124,18124,18124
Northwest School of Wooden BoatbuildingPrivate 4-year,Private_4_year,WA,NA,19500,19500,19500,19500
Northwest UniversityPrivate 4-year,Private_4_year,WA,8630,31540,40170,31540,40170
Pacific Lutheran UniversityPrivate 4-year,Private_4_year,WA,10790,42066,52856,42066,52856
Saint Martin's UniversityPrivate 4-year,Private_4_year,WA,11445,37356,48801,37356,48801
Seattle Pacific UniversityPrivate 4-year,Private_4_year,WA,11796,42939,54735,42939,54735
Seattle UniversityPrivate 4-year,Private_4_year,WA,12288,44610,56898,44610,56898
University of Puget SoundPrivate 4-year,Private_4_year,WA,12540,49776,62316,49776,62316
Walla Walla UniversityPrivate 4-year,Private_4_year,WA,4275,28035,32310,28035,32310
Whitman CollegePrivate 4-year,Private_4_year,WA,13174,51764,64938,51764,64938
Whitworth UniversityPrivate 4-year,Private_4_year,WA,11496,43640,55136,43640,55136
University of Wisconsin-Eau ClairePublic 4-year,Public_4 year,WI,7813,8820,16633,17096,24909
University of Wisconsin-Green BayPublic 4-year,Public_4 year,WI,6609,7878,14487,15728,22337
University of Wisconsin-La CrossePublic 4-year,Public_4 year,WI,6331,9106,15437,17924,24255
University of Wisconsin-MadisonPublic 4-year,Public_4 year,WI,11114,10555,21669,36805,47919
University of Wisconsin-MilwaukeePublic 4-year,Public_4 year,WI,10728,11084,21812,22364,33092
University of Wisconsin-OshkoshPublic 4-year,Public_4 year,WI,7448,8820,16268,16393,23841
University of Wisconsin-ParksidePublic 4-year,Public_4 year,WI,8026,7529,15555,15518,23544
University of Wisconsin-PlattevillePublic 4-year,Public_4 year,WI,7580,7571,15151,15421,23001
University of Wisconsin-River FallsPublic 4-year,Public_4 year,WI,6513,7862,14375,15435,21948
University of Wisconsin-Stevens PointPublic 4-year,Public_4 year,WI,7522,8088,15610,16355,23877
University of Wisconsin-StoutPublic 4-year,Public_4 year,WI,6924,9457,16381,17423,24347
University of Wisconsin-SuperiorPublic 4-year,Public_4 year,WI,6792,8126,14918,15699,22491
University of Wisconsin-WhitewaterPublic 4-year,Public_4 year,WI,6786,7692,14478,16265,23051
Alverno CollegePrivate 4-year,Private_4_year,WI,8546,28302,36848,28302,36848
Bellin CollegePrivate 4-year,Private_4_year,WI,NA,22178,22178,22178,22178
Beloit CollegePrivate 4-year,Private_4_year,WI,8830,50040,58870,50040,58870
Cardinal Stritch UniversityPrivate 4-year,Private_4_year,WI,8440,29998,38438,29998,38438
Carroll UniversityPrivate 4-year,Private_4_year,WI,9484,31918,41402,31918,41402
Carthage CollegePrivate 4-year,Private_4_year,WI,11990,43550,55540,43550,55540
Columbia College of NursingPrivate 4-year,Private_4_year,WI,NA,29700,29700,29700,29700
Concordia University WisconsinPrivate 4-year,Private_4_year,WI,10860,29450,40310,29450,40310
Edgewood CollegePrivate 4-year,Private_4_year,WI,11020,29500,40520,29500,40520
Lakeland UniversityPrivate 4-year,Private_4_year,WI,9234,28870,38104,28870,38104
Lawrence UniversityPrivate 4-year,Private_4_year,WI,10341,47475,57816,47475,57816
Maranatha Baptist UniversityPrivate 4-year,Private_4_year,WI,7100,15410,22510,15410,22510
Marian UniversityPrivate 4-year,Private_4_year,WI,7222,27400,34622,27400,34622
Marquette UniversityPrivate 4-year,Private_4_year,WI,12720,41870,54590,41870,54590
Milwaukee Institute of Art & DesignPrivate 4-year,Private_4_year,WI,9300,37360,46660,37360,46660
Milwaukee School of EngineeringPrivate 4-year,Private_4_year,WI,10389,40749,51138,40749,51138
Mount Mary UniversityPrivate 4-year,Private_4_year,WI,8600,30100,38700,30100,38700
Northland CollegePrivate 4-year,Private_4_year,WI,9176,36183,45359,36183,45359
Ripon CollegePrivate 4-year,Private_4_year,WI,8400,43808,52208,43808,52208
Silver Lake College of the Holy FamilyPrivate 4-year,Private_4_year,WI,8400,28390,36790,28390,36790
St. Norbert CollegePrivate 4-year,Private_4_year,WI,9954,38129,48083,38129,48083
Viterbo UniversityPrivate 4-year,Private_4_year,WI,9060,27970,37030,27970,37030
Wisconsin Lutheran CollegePrivate 4-year,Private_4_year,WI,10190,29725,39915,29725,39915
Bluefield State CollegePublic 4-year,Public_4 year,WV,NA,8820,8820,16920,16920
Concord UniversityPublic 4-year,Public_4 year,WV,8988,7896,16884,17320,26308
Fairmont State UniversityPublic 4-year,Public_4 year,WV,9004,7514,16518,16324,25328
Glenville State CollegePublic 4-year,Public_4 year,WV,NA,7327,7327,16565,16565
Marshall UniversityPublic 4-year,Public_4 year,WV,10450,8128,18578,18614,29064
Shepherd UniversityPublic 4-year,Public_4 year,WV,10500,7548,18048,18048,28548
West Liberty UniversityPublic 4-year,Public_4 year,WV,9406,7730,17136,15670,25076
West Virginia State UniversityPublic 4-year,Public_4 year,WV,11892,8167,20059,16072,27964
West Virginia UniversityPublic 4-year,Public_4 year,WV,10918,8856,19774,24950,35868
West Virginia University Institute of TechnologyPublic 4-year,Public_4 year,WV,11390,7464,18854,18648,30038
American Public University SystemFor-profit 4-year,For_profit_4_year,WV,NA,8150,8150,8150,8150
Salem International UniversityFor-profit 4-year,For_profit_4_year,WV,7480,12920,20400,12920,20400
Alderson-Broaddus UniversityPrivate 4-year,Private_4_year,WV,8860,27910,36770,27910,36770
Appalachian Bible CollegePrivate 4-year,Private_4_year,WV,7960,14720,22680,14720,22680
Bethany CollegePrivate 4-year,Private_4_year,WV,10580,29773,40353,29773,40353
Catholic Distance UniversityPrivate 4-year,Private_4_year,WV,NA,10050,10050,10050,10050
Davis and Elkins CollegePrivate 4-year,Private_4_year,WV,9450,29390,38840,29390,38840
Ohio Valley UniversityPrivate 4-year,Private_4_year,WV,7980,21900,29880,21900,29880
University of CharlestonPrivate 4-year,Private_4_year,WV,9180,30900,40080,30900,40080
West Virginia Wesleyan CollegePrivate 4-year,Private_4_year,WV,8856,31640,40496,31640,40496
Wheeling Jesuit UniversityPrivate 4-year,Private_4_year,WV,9900,29290,39190,29290,39190
University of WyomingPublic 4-year,Public_4 year,WY,10320,5400,15720,17490,27810
