Occupation,Numworkers,median_wage,male_worker,male_wage,female_worker,female_wage
"Human resources assistants, except payroll and timekeeping",53,816,7,NA,45,NA
Receptionists and information clerks,934,605,81,593,853,606
Reservation and transportation ticket agents and travel clerks,109,745,50,681,60,766
"Information and record clerks, all other",95,733,24,NA,71,724
Cargo and freight agents,18,NA,6,NA,12,NA
Couriers and messengers,192,786,164,821,29,NA
Dispatchers,270,783,108,926,162,725
"Meter readers, utilities",24,NA,22,NA,2,NA
Postal service clerks,115,765,51,758,63,771
Postal service mail carriers,288,931,170,983,118,808
"Postal service mail sorters, processors, and processing machine operators",53,980,22,NA,32,NA
"Production, planning, and expediting clerks",252,870,119,"1,004",134,790
"Shipping, receiving, and traffic clerks",524,632,365,654,160,590
Stock clerks and order fillers,988,562,629,558,359,570
"Weighers, measurers, checkers, and samplers, recordkeeping",44,NA,30,NA,14,NA
Secretaries and administrative assistants,"1,977",759,122,903,"1,855",753
Computer operators,67,763,27,NA,40,NA
Data entry keyers,224,655,52,730,173,643
Word processors and typists,53,858,9,NA,43,NA
Desktop publishers,1,NA,1,NA,0,NA
Insurance claims and policy processing clerks,211,719,36,NA,175,713
"Mail clerks and mail machine operators, except postal service",44,NA,31,NA,13,NA
"Office clerks, general",925,697,128,670,797,701
"Office machine operators, except computer",13,NA,5,NA,9,NA
Proofreaders and copy markers,7,NA,2,NA,4,NA
Statistical assistants,41,NA,16,NA,25,NA
"Office and administrative support workers, all other",456,794,104,920,352,762
"Natural resources, construction, and maintenance occupations","11,546",824,"11,030",834,516,638
"Farming, fishing, and forestry occupations",850,581,667,602,183,483
"FirstNAline supervisors of farming, fishing, and forestry workers",45,NA,37,NA,7,NA
Agricultural inspectors,18,NA,13,NA,6,NA
Animal breeders,2,NA,2,NA,0,NA
"Graders and sorters, agricultural products",75,593,38,NA,37,NA
Miscellaneous agricultural workers,641,552,512,578,130,474
Fishers and related fishing workers,12,NA,12,NA,0,NA
Hunters and trappers,3,NA,3,NA,0,NA
Forest and conservation workers,17,NA,15,NA,3,NA
Logging workers,36,NA,36,NA,0,NA
Construction and extraction occupations,"6,414",808,"6,223",809,191,785
FirstNAline supervisors of construction trades and extraction workers,541,"1,059",521,"1,073",20,NA
Boilermakers,16,NA,16,NA,0,NA
"Brickmasons, blockmasons, and stonemasons",102,763,100,761,2,NA
Carpenters,973,756,953,759,20,NA
"Carpet, floor, and tile installers and finishers",108,692,105,682,4,NA
"Cement masons, concrete finishers, and terrazzo workers",46,NA,46,NA,0,NA
Construction laborers,"1,470",717,"1,421",717,49,NA
"Paving, surfacing, and tamping equipment operators",19,NA,18,NA,0,NA
PileNAdriver operators,1,NA,1,NA,0,NA
Operating engineers and other construction equipment operators,328,905,323,905,5,NA
"Drywall installers, ceiling tile installers, and tapers",125,704,124,707,1,NA
Electricians,781,965,766,966,16,NA
Glaziers,35,NA,35,NA,0,NA
Insulation workers,49,NA,48,NA,1,NA
"Painters, construction and maintenance",380,679,360,679,20,NA
Paperhangers,3,NA,3,NA,0,NA
"Pipelayers, plumbers, pipefitters, and steamfitters",531,921,514,916,17,NA
Plasterers and stucco masons,15,NA,14,NA,1,NA
Reinforcing iron and rebar workers,3,NA,3,NA,0,NA
Roofers,148,687,146,686,2,NA
Sheet metal workers,129,881,127,882,2,NA
Structural iron and steel workers,52,934,51,941,1,NA
Solar photovoltaic installers,9,NA,9,NA,0,NA
"Helpers, construction trades",68,620,67,622,1,NA
Construction and building inspectors,82,996,68,"1,015",14,NA
Elevator installers and repairers,25,NA,23,NA,2,NA
Fence erectors,21,NA,21,NA,0,NA
Hazardous materials removal workers,30,NA,27,NA,3,NA
Highway maintenance workers,109,781,105,772,4,NA
RailNAtrack laying and maintenance equipment operators,12,NA,12,NA,0,NA
Septic tank servicers and sewer pipe cleaners,6,NA,6,NA,0,NA
Miscellaneous construction and related workers,25,NA,24,NA,0,NA
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,NA,28,NA,1,NA
"Earth drillers, except oil and gas",23,NA,23,NA,0,NA
"Explosives workers, ordnance handling experts, and blasters",14,NA,14,NA,0,NA
Mining machine operators,59,"1,402",55,"1,389",4,NA
"Roof bolters, mining",1,NA,1,NA,0,NA
"Roustabouts, oil and gas",9,NA,9,NA,0,NA
HelpersNANAextraction workers,2,NA,2,NA,0,NA
Other extraction workers,35,NA,34,NA,0,NA
"Installation, maintenance, and repair occupations","4,282",934,"4,140",936,142,823
"FirstNAline supervisors of mechanics, installers, and repairers",270,"1,087",255,"1,111",15,NA
"Computer, automated teller, and office machine repairers",157,932,137,940,20,NA
Radio and telecommunications equipment installers and repairers,125,"1,131",108,"1,134",18,NA
Avionics technicians,11,NA,10,NA,1,NA
"Electric motor, power tool, and related repairers",22,NA,20,NA,2,NA
"Electrical and electronics installers and repairers, transportation equipment",0,NA,0,NA,0,NA
"Electrical and electronics repairers, industrial and utility",12,NA,10,NA,2,NA
"Electronic equipment installers and repairers, motor vehicles",5,NA,5,NA,0,NA
Electronic home entertainment equipment installers and repairers,29,NA,29,NA,0,NA
Security and fire alarm systems installers,47,NA,47,NA,0,NA
Aircraft mechanics and service technicians,155,"1,117",147,"1,141",7,NA
Automotive body and related repairers,114,820,114,820,0,NA
Automotive glass installers and repairers,22,NA,21,NA,1,NA
Automotive service technicians and mechanics,709,800,698,802,10,NA
Bus and truck mechanics and diesel engine specialists,358,942,352,943,5,NA
Heavy vehicle and mobile equipment service technicians and mechanics,199,"1,013",196,"1,011",3,NA
Small engine mechanics,28,NA,28,NA,0,NA
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",68,611,65,612,3,NA
Control and valve installers and repairers,20,NA,18,NA,2,NA
"Heating, air conditioning, and refrigeration mechanics and installers",384,890,381,891,3,NA
Home appliance repairers,28,NA,28,NA,0,NA
Industrial and refractory machinery mechanics,424,981,418,982,6,NA
"Maintenance and repair workers, general",456,870,439,874,16,NA
"Maintenance workers, machinery",23,NA,23,NA,0,NA
Millwrights,40,NA,39,NA,1,NA
Electrical powerNAline installers and repairers,129,"1,300",124,"1,292",5,NA
